EmployeeID,Age,Gender,Department,Tenure,JobSatisfaction,MonthlyIncome,Attrition,SurveyComment,SentimentScore,WellnessStatus,Recommendation
1,40,1,1,1,1,58163,0,I feel stressed often,0.0,Stable,Mentorship or Training
2,39,1,3,7,4,74306,0,Need better leadership,0.5,Thriving,Public Recognition or Bonus
3,34,0,1,7,1,54587,0,Need better leadership,0.5,Thriving,Public Recognition or Bonus
4,45,1,3,3,3,53903,0,No recognition,0.0,Stable,Mentorship or Training
5,45,1,2,5,1,49520,1,Need better leadership,0.5,Thriving,Public Recognition or Bonus
6,39,1,2,2,2,64514,1,Need better leadership,0.5,Thriving,Public Recognition or Bonus
7,34,0,0,6,2,70850,1,I feel stressed often,0.0,Stable,Mentorship or Training
8,43,1,0,2,3,87689,0,No recognition,0.0,Stable,Mentorship or Training
9,25,1,3,9,3,71971,1,Need better leadership,0.5,Thriving,Public Recognition or Bonus
10,25,1,2,4,1,35793,1,Work-life balance is okay,0.5,Thriving,Public Recognition or Bonus
11,35,1,2,3,1,55471,0,No recognition,0.0,Stable,Mentorship or Training
12,39,0,2,6,2,60134,1,I feel stressed often,0.0,Stable,Mentorship or Training
13,28,1,0,4,1,46908,1,Need better leadership,0.5,Thriving,Public Recognition or Bonus
14,31,0,3,5,4,34743,1,Good place to work,0.7,Thriving,Public Recognition or Bonus
15,29,0,0,3,1,80467,1,Good place to work,0.7,Thriving,Public Recognition or Bonus
16,45,0,0,2,1,39385,0,I feel stressed often,0.0,Stable,Mentorship or Training
17,27,1,2,1,3,47926,1,Good place to work,0.7,Thriving,Public Recognition or Bonus
18,26,1,3,7,1,77089,0,I feel stressed often,0.0,Stable,Mentorship or Training
19,30,0,3,5,2,78864,1,I feel stressed often,0.0,Stable,Mentorship or Training
20,28,0,0,6,3,75598,0,Good place to work,0.7,Thriving,Public Recognition or Bonus
